[INFO] 12:39:25:821 ESI/(17656:17656): Para el ESI con el id: 003, se ejecuto el comando STORE, para la clave futbol:messi
[INFO] 12:39:26:321 ESI/(17656:17656): Para el ESI con el id: 003, se ejecuto el comando GET, para la clave futbol:messi
[INFO] 12:39:26:821 ESI/(17656:17656): Para el ESI con el id: 003, se ejecuto el comando SET, para la clave futbol:messi y el valor PorqueMessi
[INFO] 12:39:27:322 ESI/(17656:17656): Para el ESI con el id: 003, se ejecuto el comando STORE, para la clave futbol:messi
[INFO] 12:39:27:822 ESI/(17656:17656): Para el ESI con el id: 003, se ejecuto el comando GET, para la clave futbol:messi
[INFO] 12:39:28:322 ESI/(17656:17656): Para el ESI con el id: 003, se ejecuto el comando SET, para la clave futbol:messi y el valor SeLoMeressi
[INFO] 12:39:28:823 ESI/(17656:17656): Para el ESI con el id: 003, se ejecuto el comando STORE, para la clave futbol:messi
[INFO] 12:39:29:805 ESI/(17656:17658): Cargo correctamente el nuevo archivo. Se va a proceder a procesarlo.
[INFO] 12:39:29:823 ESI/(17656:17656): Para el ESI con el id: 004, se ejecuto el comando GET, para la clave futbol:messi
[INFO] 12:39:30:323 ESI/(17656:17656): Para el ESI con el id: 004, se ejecuto el comando SET, para la clave futbol:messi y el valor TraemeLaCopa
[INFO] 12:39:30:824 ESI/(17656:17656): Para el ESI con el id: 004, se ejecuto el comando STORE, para la clave futbol:messi
[INFO] 12:39:33:805 ESI/(17656:17658): Cargo correctamente el nuevo archivo. Se va a proceder a procesarlo.
[INFO] 12:39:33:825 ESI/(17656:17656): Para el ESI con el id: 005, se ejecuto el comando GET, para la clave futbol:ansaldi
[INFO] 12:39:34:326 ESI/(17656:17656): Para el ESI con el id: 005, se ejecuto el comando SET, para la clave futbol:ansaldi y el valor TraeVodka
[INFO] 12:39:34:826 ESI/(17656:17656): Para el ESI con el id: 005, se ejecuto el comando GET, para la clave futbol:messi
[INFO] 12:39:35:326 ESI/(17656:17656): Para el ESI con el id: 005, se ejecuto el comando SET, para la clave futbol:messi y el valor TraemeLaCopa
[INFO] 12:39:35:805 ESI/(17656:17658): Cargo correctamente el nuevo archivo. Se va a proceder a procesarlo.
[INFO] 12:39:35:826 ESI/(17656:17656): Para el ESI con el id: 005, se ejecuto el comando SET, para la clave futbol:messi y el valor TraemeLaCo
[INFO] 12:39:36:327 ESI/(17656:17656): Para el ESI con el id: 005, se ejecuto el comando SET, para la clave futbol:messi y el valor TraemeLaCopa
[INFO] 12:39:36:827 ESI/(17656:17656): Para el ESI con el id: 005, se ejecuto el comando SET, para la clave futbol:messi y el valor TraemeLaCo
[INFO] 12:39:37:327 ESI/(17656:17656): Para el ESI con el id: 005, se ejecuto el comando SET, para la clave futbol:messi y el valor TraemeLaCopa
[INFO] 12:39:37:828 ESI/(17656:17656): Para el ESI con el id: 005, se ejecuto el comando SET, para la clave futbol:messi y el valor TraemeLaCo
[INFO] 12:39:38:328 ESI/(17656:17656): Para el ESI con el id: 005, se ejecuto el comando SET, para la clave futbol:messi y el valor TraemeLaCopa
[INFO] 12:39:38:828 ESI/(17656:17656): Para el ESI con el id: 005, se ejecuto el comando SET, para la clave futbol:messi y el valor TraemeLaCo
[INFO] 12:39:39:329 ESI/(17656:17656): Para el ESI con el id: 005, se ejecuto el comando SET, para la clave futbol:messi y el valor PorqueMessi
[INFO] 12:39:39:806 ESI/(17656:17658): Cargo correctamente el nuevo archivo. Se va a proceder a procesarlo.
[INFO] 12:39:39:829 ESI/(17656:17656): Para el ESI con el id: 005, se ejecuto el comando SET, para la clave futbol:messi y el valor SeLoMeressi
[INFO] 12:39:40:331 ESI/(17656:17656): Para el ESI con el id: 005, se ejecuto el comando SET, para la clave futbol:messi y el valor TraemeLaCopa
[INFO] 12:39:40:831 ESI/(17656:17656): Para el ESI con el id: 005, se ejecuto el comando STORE, para la clave futbol:messi
[INFO] 12:39:41:332 ESI/(17656:17656): Para el ESI con el id: 005, se ejecuto el comando STORE, para la clave futbol:ansaldi
